light_rail,name,network,network:wikidata,operator,operator:wikidata,public_transport,railway,station,wikidata,wikipedia:en,wikipedia,bench,bin,bus,covered,highway,lit,tactile_paving,amenity,parking,operator:short,wheelchair,tourism,ref,route_ref,shelter,brand,brand:wikidata,brand:wikipedia,level,official_name,addr:housenumber,addr:street,check_date,cuisine,takeaway,created_by,addr:city,addr:postcode,addr:province,atm,denomination,religion,shop,branch,healthcare,alt_name,website,website:en,website:fr,drive_through,source,opening_hours,phone,platforms,leisure,name:ru,url,air_conditioning,bar,email,internet_access,payment:cash,payment:credit_cards,payment:debit_cards,reservation,smoking,stars,fee,railway:ref,train,description,is_in:city,addr:unit,brand:website,layer,name:en,name:zh-Hans,name:zh-Hant,outdoor_seating,contact:yelp,survey:date,old_name,internet_access:fee,post_office,delivery,delivery:partner,was:name,sport,check_date:opening_hours,addr:country,indoor_seating,diet:gluten_free,fax,website:menu,wifi,clothes,short_name,rice_noodle,building,note,name:ja-Hira,rooms,addr:housename,dispensing,designation,tram,access,surface,local_ref,source:name,seasonal,toilets:wheelchair,ref:signed,was:highway,departures_board,network:wikipedia,end_date,noexit,passenger_information_display,brand:en,brand:zh,name:zh,was:amenity,alt_name:en,alt_name:vi,name:vi,alberta_school_number,operator:type,source:addr,operator:wikipedia,construction,brand:fr,name:fr,wheelchair:description,check_date:currency:XBT,shop_1,aerialway,start_date,amenity_1,alt_name_1,capacity,healthcare:speciality,elevator,addr:state,check_date:wheelchair,sport_1,alt_name_2,wikimedia_commons,park_ride,supervised,microbrewery,direction,diet:vegetarian,drink:coffee,building:levels,height,diet:vegan,attraction,image,min_age,payment:discover_card,payment:invoice,payment:mastercard,payment:visa,contact:facebook,contact:instagram,contact:linkedin,contact:twitter,contact:youtube,service_times,opening_hours:covid19,diet:non-vegetarian,facebook,language:en,year,int_name,museum,temporary,after_school,nursery,preschool,organic,emergency,second_hand,not:brand:wikidata,toilets,payment:insurance,payment:cheque,payment:credit_card,contact:website,craft,was:contact:google_plus,diet:halal,payment:interac,payment:cryptocurrencies,diet:dairy_free,diet:egg_free,diet:healthy,natural,alt_name:ko,name:ko,diet:meat,diet:pescetarian,theme,payment:american_express,theatre:type,opening_hours:url,fixme:type,outdoor,abandoned,opening_date,highchair,internet_access:ssid,capacity:disabled,diet:celiac,contact:fax,contact:phone,fixme,fountain,contact:email,opening_hours:pharmacy,disused:railway,brewery,self_service,healthcare:counselling,garden:type,max_age,place,opening_hours:reception,swimming_pool,multi-storey,intermittent,salt,tidal,water,landuse,type,winter_service,bicycle,building:colour,building:material,name:uk,roof:levels,golf:course,golf:par,leaf_cycle,leaf_type,fence_type,golf,flood_prone,not:operator:wikidata,charge,complete,name_1,building:height,roof:colour,roof:shape,demolished:building,construction_date,historic,levels,owner,isced:level,min_height,official_name:en,official_name:fr,area,bmx:type,grades,operator:fr,twitter,barrier,ref:walmart,location,dog,length,playground,memorial,private,source:website,building:min_level,phone:tollfree,health_facility:type,museum_type,theatre:genre,fee:conditional,payment:sms,basilica,roof:material,basin,service,maxstay,closed,baby_feeding,fire_station:type,denomination:wikidata,zoo,cinema:3D,drive_in,alt_name:ur,name:ur,addr:province:en,name:es,name:pl,name:tl,loc_name,indoor,shop_2,CODE,name:de,name:grc,name:hi,name:ja,name:mn,name:pt,name:zh-Latn-pinyin,smoothness,foot,old_name_1,school,width,capacity_1,roof:height,beds,social_facility:for,wetland,building:part,lst,instagram,phone:mnemonic,hour_on,ref:isil,species:wikidata,species:wikipedia,species:en,playground:theme,mascot,ramp,man_made,fenced,name:etymology,name:etymology:wikipedia,boundary,check_date:bench,check_date:shelter,building:material:concrete,screen,fishing,construction:railway,parking:orientation,check_date:bin,payment:app,payment:apple_pay,payment:contactless,payment:google_pay,orientation,athletics,not:name,capacity:persons,operator:website,water_1,lanes,AREA,CADASTRAL,CENTROID_X,CENTROID_Y,OBJECTID,Shape_Area,Shape_Leng,TAX_ROLL_N,paved,admin_level,contact:city,contact:housenumber,contact:street,landuse_1,owner:wikidata,police,latitude,longitude
,Terwillegar Arena D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_rink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_hockey; ice_skating,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.459211,-113.5836045
,Terwillegar Arena C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_rink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_hockey; ice_skating,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4590418,-113.5830531
,Terwillegar Arena A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_rink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_hockey; ice_skating,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4587047,-113.5819549
,Terwillegar Aquatic Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4580131,-113.5824029
,Terwillegar Arena B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_rink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_hockey; ice_skating,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4589001,-113.5825916
,World Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6000576,-113.5404932
,Hudson Childrens Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6076309,-113.5563289
,LA Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,LA Fitness,Q6457180,,,,,Stony Plain Road NW,,,,,Edmonton,,,,,,,,,,,,,,local_knowledge,,,,fitness_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5426984,-113.643167
,Ortona Gymnastics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11610,65 Avenue NW,,,,,Edmonton,T6G 2E1,,,,,,,,Ortona Gym,https://www.ortonagymnastics.com/,,,,http://www.ortonagymnastics.com/default.aspx?p=findus,,+1-780-492-7300,,sports_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gymnastics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ortona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5023765,-113.532655
,Dog Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5063752,-113.6217818
,Callingwood Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17740,69 Avenue NW,,,,,Edmonton,,,,,,,,,Callingwood Twin Arenas,,,,,,,,,ice_rink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_skating,,,,,,,,,,,yes,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callingwood Vern Davis Rink,,,,,,ice_hockey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5053036,-113.6282406
,Clareview Aquatic Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clareview Swimming Pool,,,,,,,,,swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.602695,-113.4033928
,Clareview Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clareview Twin Arenas,,,,,,,,,ice_rink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_skating;ice_hockey,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clareview Arena A,,,,,,,Clareview Arena B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6018755,-113.4017998
